fid,PCD,PCD_Source,X_BNG,Y_BNG,X_IG,Y_IG,X_Latitude,Y_Longitud,Total_Pers,Females,Males,Occupied_H,LSOA_DZ_Co,LSOA_DZ_Na,OA_SA_Code,OAC_Superg,OAC_Supe_1,OAC_Group_,OAC_Goup_N,OAC_Subgro,OAC_Subg_1,WIMD_2014_,EIMD_2015_,EIMD_201_1,EIMD_201_2,SIMD_2016_,NIMDM_2017,LSOA_DZ_To,LSOA_DZ__1,OA_SA_Town,OA_SA_To_1,field_32,field_33,field_34,utd-pop,icon_url
6786,BR2 8EX,ONS,542350,167329,0,0,0.044375900000000,51.387160000000002,106,57,49,36,E01000662,Bromley 026B,E00003198,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.337467509000000,3.000000000000000,,,,"116",./3.png
6787,BR2 8EY,ONS,542381,167376,0,0,0.044839940000000,51.387569999999997,100,44,56,38,E01000662,Bromley 026B,E00003198,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.337467509000000,3.000000000000000,,,,"109",./3.png
6788,BR2 8EZ,ONS,542325,167446,0,0,0.044063720000000,51.388219999999997,113,68,45,44,E01000662,Bromley 026B,E00003198,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,0.337467509000000,3.000000000000000,,,,"124",./2.png
6790,BR2 8GA,ONS,542370,167567,0,0,0.044758480000000,51.389290000000003,7,4,3,4,E01000662,Bromley 026B,E00003202,"5",Urbanites,5a,Urban Professionals and Families,5a2,Multi-Ethnic Professionals with Families,,"18","15760",5,,,0.427799923000000,3.000000000000000,-1.137566914000000,3.000000000000000,,,,"8",./0.png
6808,BR2 8JA,ONS,542226,167382,0,0,0.042616280000000,51.387659999999997,106,52,54,46,E01000661,Bromley 026A,E00003196,"4",Multicultural Metropolitans,4a,Rented Family Living,4a3,Commuters with Young Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,2.271492856000000,4.000000000000000,,,,"116",./3.png
6809,BR2 8JB,ONS,542351,167209,0,0,0.044342200000000,51.386080000000000,92,48,44,32,E01000661,Bromley 026A,E00003206,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.109430310000000,5.000000000000000,,,,"101",./3.png
6810,BR2 8JD,ONS,542261,167104,0,0,0.043007670000000,51.385159999999999,56,32,24,24,E01000661,Bromley 026A,E00003208,"3",Ethnicity Central,3a,Ethnic Family Life,3a1,Established Renting Families,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.731866291000000,5.000000000000000,,,,"61",./4.png
6811,BR2 8JE,ONS,542228,166868,0,0,0.042439330000000,51.383049999999997,67,35,32,29,E01000661,Bromley 026A,E00003212,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.898208348000000,5.000000000000000,,,,"73",./4.png
6812,BR2 8JF,ONS,542333,166883,0,0,0.043953170000000,51.383159999999997,2,1,1,1,E01000661,Bromley 026A,E00003212,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.898208348000000,5.000000000000000,,,,"2",./0.png
6813,BR2 8JG,ONS,542385,167001,0,0,0.044747160000000,51.384200000000000,64,31,33,27,E01000661,Bromley 026A,E00003212,"7",Constrained City Dwellers,7a,Challenged Diversity,7a3,Multi-Ethnic Hardship,,"50","2184",1,,,4.503961173000000,5.000000000000000,3.898208348000000,5.000000000000000,,,,"70",./4.png
